"序號","統一編號","公司名稱","公司所在地","代表人","資本額","核准設立日期","核准解散日期"
138,"22292852","弘圖企業有限公司","高雄市大寮區永芳里內厝路69巷2號","",3000000,"0751030","1050111"
139,"22297977","慧瑩有限公司","高雄市前鎮區鎮昌六巷30號2樓","",5000000,"0751111","1050105"
140,"22333066","華利實業股份有限公司","臺北市大安區敦化南路1段187巷63號3樓之2","",5000000,"0751119","1050106"
141,"22366994","世福有限公司","臺北市中山區中山北路1段135巷1號2樓","",5000000,"0760227","1050105"
142,"22375868","穎宗工業有限公司","彰化縣溪湖鎮東寮里彰水路4段256巷18號","",2000000,"0760112","1050104"
143,"22383001","同勝有限公司","新北市鶯歌區文化路226巷7弄5號","",2000000,"0760121","1050106"
144,"22409298","大亞製網股份有限公司","臺中市后里區墩北里月湖路81之1號","",5000000,"0760319","1050118"
145,"22433558","光寰實業有限公司","臺北市中正區西藏路114號","",500000,"0760403","1050111"
146,"22437512","益得實業股份有限公司","臺北市北投區吉利街31號","",18000000,"0760411","1050106"
147,"22459178","欣惠企業有限公司","臺北市北投區北投路1段53號4樓","",5000000,"0760526","1050111"
148,"22468681","凱淇理貨有限公司","臺北市中山區新生北路2段100號︹之8︺8樓","",1000000,"0760622","1050115"
149,"22476015","上銷企業有限公司","新北市新莊區中正路新旺巷3-1號","",1000000,"0760410","1050126"
150,"22477422","廷達塑膠廠有限公司","新北市泰山區壽山路一三四巷一五號","",5000000,"0760414","1050118"
151,"22478983","臺灣波升實業有限公司","新北市板橋區長安街166巷1號1樓","",5000000,"0760415","1050113"
152,"22480670","美安消防安全設備興業有限公司","新北市中和區永和路66巷8號5樓","",5000000,"0760416","1050130"
153,"22490305","開一企業股份有限公司","臺北市內湖區民權東路6段16之2號5樓","",6000000,"0760501","1050106"
154,"22499018","十銘電子有限公司","新竹縣芎林鄉石潭村福昌街50巷26弄1號","",5000000,"0760514","1050121"
155,"22534211","建暐水產股份有限公司","高雄市苓雅區復興二路48號","",16000000,"0760805","1050104"
156,"22539784","根旺機械工業有限公司","高雄市三民區清華街120號","",3000000,"0761012","1050119"
