"序號","統一編號","公司名稱","公司所在地","代表人","資本額","核准變更日期"
"202","12110875","銀麥國際有限公司","宜蘭縣蘇澳鎮新城里新城一路30號","楊劍鵬","10000000","1050219"
"203","12119051","皮得企業有限公司","臺北市大同區承德路2段175巷1號1樓","林嘉明","5000000","1050219"
"204","12123837","卜蜂︹台灣︺股份有限公司","臺北市中山區松江路87號17樓","林竹雄","27152400","1050215"
"205","12124580","林普股份有限公司","臺北市北投區大業路508號2樓","余瓊君","5000000","1050217"
"206","12130106","萬勝實業有限公司","臺北市中山區民族東路120號2樓","蔡正芳","2000000","1050225"
"207","12132391","盉豊企業有限公司","臺北市士林區中山北路6段35巷44號1樓","何宇庭","6000000","1050216"
"208","12134779","華岡船務股份有限公司","臺北市中山區南京東路3段103號7樓","洪清潭","50000000","1050204"
"209","12135600","統振股份有限公司","臺北市內湖區安美街181號1樓及6樓","陳敦仁","896700380","1050222"
"210","12136930","春原營造股份有限公司","臺北市中山區復興北路502號4樓之2、4樓之3","蔡常義","787202450","1050223"
"211","12142200","三友小客車租賃有限公司","臺北市中山區民族東路24號2樓","章鴻烈","4000000","1050218"
"212","12151143","馥聖企業股份有限公司","臺北市中山區南京東路2段206號10樓之3","廖冠能","10000000","1050201"
"213","12162036","綸欣實業股份有限公司","臺北市大同區西寧北路56號5樓","周福南","20000000","1050224"
"214","12216574","立勝工業股份有限公司","臺北市南港區南港路2段147號1樓","胡馨尹","20000000","1050215"
"215","12221350","皇欣實業有限公司","臺北市中正區和平西路2段23號1樓","李志義","3000000","1050215"
"216","12227404","可達國際股份有限公司","臺北市大安區新生南路1段163號4樓","王鵬飛","10000000","1050223"
"217","12232981","台灣東芝電子零組件股份有限公司","臺北市中山區民生東路3段10號10樓","岡本成之","50000000","1050218"
"218","12233428","大連化學工業股份有限公司","臺北市中山區松江路301號7樓","廖龍星","3084733550","1050204"
"219","12239112","珊合有限公司","臺北市松山區南京東路4段171號12樓","蘇鈺淇","24000000","1050225"
"220","12241784","信韻音樂企業有限公司","臺北市中山區長春路100號12樓之2","柯樹","1000000","1050205"
"221","12270339","萬錄股份有限公司","臺北市大安區仁愛路3段24巷1之1號1、2樓","紀林麗美","10000000","1050226"
"222","12273194","毅保國際貿易股份有限公司","臺北市中山區松江路42號3樓之10","白福通","5000000","1050222"
"223","12273504","琴裕有限公司","臺北市信義區和平東路3段223號9樓","古福裕","5000000","1050205"
"224","12277847","凱鴻環保科技股份有限公司","新北市汐止區忠三街118巷61號","林家泰","140000000","1050217"
"225","12278156","法商法國興業銀行股份有限公司","臺北市信義區忠孝東路5段68號38樓","張建西","1650271575","1050217"
"226","12278439","台林電通股份有限公司","桃園市蘆竹區內厝里榮安路10號","陳哲宏","909420850","1050217"
"227","12278923","正英建設股份有限公司","臺北市中山區新生北路3段7號2樓之5","林正雄","30000000","1050217"
"228","12290047","侵略未來藝術沙龍有限公司","宜蘭縣蘇澳鎮新城里新城一路30號","楊劍鵬","50000000","1050205"
"229","12291708","安傳電子股份有限公司","臺北市內湖區舊宗路2段171巷17號5樓","張鵬志","150000000","1050201"
"230","12292039","大江生醫股份有限公司","臺北市內湖區港墘路187號8樓","楊武男","652764850","1050202"
"231","12324709","企榮股份有限公司","臺北市中山區松江路66號12樓","林礽蛟","100000000","1050219"
"232","12331949","昇展交通有限公司","屏東縣萬丹鄉新鐘村新鐘路87號2樓","李月琴","25000000","1050222"
"233","12332243","偉珍實業有限公司","臺北市中山區林森北路409號8樓15室","姚克強","7000000","1050219"
"234","12364770","翔耀實業股份有限公司","桃園市龜山區楓樹里自強北路17巷31號","邱連春","752159400","1050222"
"235","12371287","采盟股份有限公司","臺北市松山區中正里復興北路57號3樓之1、2、7","古素琴","2600000000","1050204"
"236","12376121","文經出版社有限公司","新北市三重區光復路1段61巷27號11樓","李光祥","6000000","1050219"
"237","12380770","星榕股份有限公司","臺北市松山區東興路12號5樓","吳訂","62500000","1050215"
"238","12387529","三園立企業股份有限公司","新北市蘆洲區集賢路224巷46弄19號","李宇仁","10000000","1050222"
"239","12415927","巨鎧工業有限公司","新北市三重區中興北街155巷28號","張槐庭","3000000","1050222"
"240","12418234","鞋麟貿易股份有限公司","臺北市中山區松江路309號12樓","錢俊興","28000000","1050217"
"241","12427851","華星電器有限公司","臺北市松山區民族東路650號1樓","李明星","12000000","1050217"
"242","12430309","香港商遠東恆天然乳品有限公司","臺北市松山區敦化南路1段2號11樓","李郁文","12000000","1050205"
"243","12435803","中閥股份有限公司","臺北市中山區林森北路409號8樓15室","姚克強","5000000","1050222"
"244","12436872","正佳汽車有限公司","臺北市中山區濱江街301巷8號","游錫培","5000000","1050202"
"245","12453273","聯飛股份有限公司","臺北市中山區松江路235巷36號7樓","岑慰敏","9000000","1050223"
"246","12456124","誼欣股份有限公司","臺北市中山區長春路202號1樓","蘇秋麗","5000000","1050201"
"247","12459348","永同電器股份有限公司","臺北市大安區忠孝東路4段162號8樓之5","劉紫宸","20000000","1050215"
"248","12462174","新駿實業股份有限公司","新北市五股區中興路1段168號","","100000000","1050224"
"249","12466798","廣信開發股份有限公司","新北市新店區太平路10號(1樓)","張堉棠","50000000","1050223"
"250","12472927","大豐資訊股份有限公司","臺北市內湖區新湖二路146巷33號3樓","張志鵠","6400000","1050205"
"251","12482164","肯友股份有限公司","臺北市中山區松江路148號6樓之1","陳貴寶","69997800","1050224"
"252","12483591","雨助水電衛生材料有限公司","臺北市中山區農安街227巷3弄18號1樓","陳明冠","10000000","1050222"
"253","12491332","達慶機電股份有限公司","臺北市內湖區南京東路6段348號12樓","陳朝慶","100000000","1050218"
"254","12495864","長椿實業股份有限公司","臺北市南港區三重路19之2號7樓","林鴻池","50000000","1050219"
"255","12508713","長榮國際股份有限公司","臺北市中山區民生東路2段166號9樓","張明哲","5005000000","1050203"
"256","12508740","大同奧的斯電梯股份有限公司","新北市板橋區中山路1段156號14樓及15樓","彭祖琳(Julie Marie Heuer Brandt)","200000000","1050218"
"257","12515144","凱特企業有限公司","臺北市中山區中原街2號2樓","林佳崇","5000000","1050203"
