SiteName,MonitorDate,Concentration,ItemUnit
美濃,2016-03-31,29,μg/m3
臺南,2016-03-31,45,μg/m3
新營,2016-03-31,68,μg/m3
嘉義,2016-03-31,67,μg/m3
朴子,2016-03-31,,μg/m3
斗六,2016-03-31,78,μg/m3
南投,2016-03-31,60,μg/m3
彰化,2016-03-31,72,μg/m3
忠明,2016-03-31,60,μg/m3
豐原,2016-03-31,54,μg/m3
三義,2016-03-31,,μg/m3
苗栗,2016-03-31,64,μg/m3
新竹,2016-03-31,73,μg/m3
竹東,2016-03-31,68,μg/m3
平鎮,2016-03-31,75,μg/m3
桃園,2016-03-31,,μg/m3
萬華,2016-03-31,60,μg/m3
士林,2016-03-31,56,μg/m3
板橋,2016-03-31,69,μg/m3
汐止,2016-03-31,54,μg/m3
基隆,2016-03-31,45,μg/m3
馬公,2016-03-28,30,μg/m3
金門,2016-03-28,50,μg/m3
馬祖,2016-03-28,49,μg/m3
宜蘭,2016-03-28,27,μg/m3
陽明,2016-03-28,29,μg/m3
花蓮,2016-03-28,26,μg/m3
臺東,2016-03-28,26,μg/m3
恆春,2016-03-28,23,μg/m3
屏東,2016-03-28,30,μg/m3
前金,2016-03-28,31,μg/m3
美濃,2016-03-28,22,μg/m3
臺南,2016-03-28,38,μg/m3
新營,2016-03-28,43,μg/m3
嘉義,2016-03-28,40,μg/m3
朴子,2016-03-28,38,μg/m3
斗六,2016-03-28,40,μg/m3
南投,2016-03-28,30,μg/m3
彰化,2016-03-28,37,μg/m3
忠明,2016-03-28,31,μg/m3
豐原,2016-03-28,26,μg/m3
三義,2016-03-28,30,μg/m3
苗栗,2016-03-28,33,μg/m3
新竹,2016-03-28,31,μg/m3
竹東,2016-03-28,28,μg/m3
平鎮,2016-03-28,33,μg/m3
桃園,2016-03-28,31,μg/m3
萬華,2016-03-28,29,μg/m3
士林,2016-03-28,27,μg/m3
板橋,2016-03-28,31,μg/m3
汐止,2016-03-28,29,μg/m3
基隆,2016-03-28,28,μg/m3
馬公,2016-03-25,16,μg/m3
金門,2016-03-25,29,μg/m3
馬祖,2016-03-25,27,μg/m3
宜蘭,2016-03-25,10,μg/m3
陽明,2016-03-25,7,μg/m3
花蓮,2016-03-25,12,μg/m3
臺東,2016-03-25,7,μg/m3
恆春,2016-03-25,4,μg/m3
屏東,2016-03-25,,μg/m3
前金,2016-03-25,34,μg/m3
美濃,2016-03-25,17,μg/m3
臺南,2016-03-25,27,μg/m3
新營,2016-03-25,25,μg/m3
嘉義,2016-03-25,27,μg/m3
朴子,2016-03-25,,μg/m3
斗六,2016-03-25,23,μg/m3
南投,2016-03-25,20,μg/m3
彰化,2016-03-25,16,μg/m3
忠明,2016-03-25,14,μg/m3
豐原,2016-03-25,8,μg/m3
三義,2016-03-25,12,μg/m3
苗栗,2016-03-25,20,μg/m3
新竹,2016-03-25,19,μg/m3
竹東,2016-03-25,13,μg/m3
平鎮,2016-03-25,19,μg/m3
桃園,2016-03-25,17,μg/m3
萬華,2016-03-25,19,μg/m3
士林,2016-03-25,18,μg/m3
板橋,2016-03-25,20,μg/m3
