MeasureId,MeasureLocation,MeasureDate,County,Township,MeasureAddress,RadiatorType,RadiatorTypeName,PowerDensityMax,ItemUnit,Legal
J00768,竹北市高速公路旁-高塔型基地台量測,2014-10-21,新竹縣,竹北市,高速公路旁,11,手機基地臺,2.573725E-06,mW/cm<sup>2</sup>,True
J00767,竹東鎮光明路802號-基地台量測,2014-10-30,新竹縣,竹東鎮,光明路802號,11,手機基地臺,2.558906E-06,mW/cm<sup>2</sup>,True
J00766,關西鎮中豐路三段263號-基地台量測,2014-10-30,新竹縣,關西鎮,中豐路三段263號,11,手機基地臺,2.571797E-06,mW/cm<sup>2</sup>,True
J00765,關西鎮南新里8鄰苧子園23之5號-基地台量測,2014-10-30,新竹縣,關西鎮,南新里8鄰苧子園23之5號,11,手機基地臺,2.540715E-06,mW/cm<sup>2</sup>,True
J00764,湖口鄉八德路一段3巷9號對面-高塔型基地台量測,2014-10-30,新竹縣,湖口鄉,八德路一段3巷9號,11,手機基地臺,2.613593E-06,mW/cm<sup>2</sup>,True
J00760,湖口鄉八德路二段635號-基地台量測,2014-10-30,新竹縣,湖口鄉,八德路二段635號,11,手機基地臺,2.560443E-06,mW/cm<sup>2</sup>,True
Q10151,大林鎮排路國小,2014-11-03,嘉義縣,大林鎮,排路里231號,91,學校極低頻設施,2.417,mG,True
H00888,桃園觀音鄉縣經建一路27號-基地台量測,2014-10-21,桃園縣,觀音鄉,經建一路27號,11,手機基地臺,3E-07,mW/cm<sup>2</sup>,True
J00748,竹北市東興路一段675號-基地台量測,2014-10-21,新竹縣,竹北市,東興路一段675號,11,手機基地臺,2.53909E-06,mW/cm<sup>2</sup>,True
P10136,雲林縣古坑鄉文化路115號 (手機基地台),2014-10-27,雲林縣,古坑鄉,文化路115號,11,手機基地臺,3.7E-07,mW/cm<sup>2</sup>,True
P10132,古坑綠色隧道落地型變壓器(K4033 DE64),2014-10-13,雲林縣,古坑鄉,古坑綠色隧道路段,24,落地型變壓器,2.673,mG,True
C00618,東信路292號對面,2014-09-29,基隆市,信義區,東信路292號對面,24,落地型變壓器,2.15,mG,True
H00883,桃園市民生路421號7樓頂-基地台量測,2014-09-10,桃園縣,桃園市,民生路421號7樓,11,手機基地臺,8.7E-06,mW/cm<sup>2</sup>,True
P10129,古坑鄉東和村廣濟路路段落地型變壓器(K4438 AC02),2014-10-13,雲林縣,古坑鄉,古坑鄉東和村廣濟路路段,24,落地型變壓器,2.65,mG,True
Q10147,阿里山鄉豐山國小,2014-10-03,嘉義縣,阿里山鄉,豐山村石鼓盤47號,91,學校極低頻設施,8.753,mG,True
P10135,虎尾農工落地型變壓器(K2747 BD12),2014-10-21,雲林縣,虎尾鎮,虎尾農工校門左側,24,落地型變壓器,12.49,mG,True
P10134,虎科大運動區落地型變壓器(K2644A DD5185),2014-10-13,雲林縣,虎尾鎮,民主路路段,24,落地型變壓器,3.174,mG,True
P10133,斗六西平路段變壓器(K3947A BD0137),2014-10-13,雲林縣,斗六市,斗六西平路路段,24,落地型變壓器,56.81,mG,True
Q10146,義竹鄉義竹國中,2014-09-30,嘉義縣,義竹鄉,岸腳村岸腳59-2號,91,學校極低頻設施,5.019,mG,True
Q10149,番路鄉民和國小,2014-10-15,嘉義縣,番路鄉,下坑村菜公店91號,91,學校極低頻設施,0.671,mG,True
Q10148,大林鎮平林國小,2014-10-28,嘉義縣,大林鎮,民權路80號,91,學校極低頻設施,13.68,mG,True
A00941,臺北市金華國中電磁場量測,2014-10-22,臺北市,大安區,新生南路二段32號,91,學校極低頻設施,9.3,mG,True
